Company_code,Company_name,ingredient_code,Quantity_per_pack,ingredient_name,Price
1024,株式会社ひのー,A0390985,1kg・1.00／PC,南山園 紅茶ﾘｰﾌ ｱｰﾙｸﾞﾚｲ  1kg,5100
1024,株式会社ひのー,A0390988,1.5K・10.00／PC,ｶﾚﾎﾞｰ ﾐﾙｸｶﾚｯﾄ 823NV 1.5K,6050
1024,株式会社ひのー,A0390993,1kg・12.00／PC,ｷｽｺﾌｰｽﾞ ｺｰﾝｸﾘｰﾑｽｰﾌﾟ 1kg,1120
1024,株式会社ひのー,A0390996,1kg・1.00／PC,ｷｽｺ  HCQｸﾚｰﾑﾄﾞｼｬﾝﾋﾟﾆｵﾝﾏｯｼｭﾙｰﾑｽｰﾌﾟ   1kg,1240
1024,株式会社ひのー,A0391004,1k・1.00／PC,ｶｺﾞﾒ 自然解凍で使えるｺﾞﾛｺﾞﾛｶｯﾄ3種,1250
1024,株式会社ひのー,A0391005,570g・1.00／PC,ｶｺﾞﾒ 冷凍ｾﾐﾄﾞﾗｲﾄﾏﾄ 570g,1880
1024,株式会社ひのー,A0391010,12.5k・1.00／C/S,ﾄﾙｺ　G ﾚｰｽﾞﾝ TYPE 9  12.5k,8625
1025,株式会社フードフアッション,A0400002,3.5ｋｇ×8,スイス・エミー　エメンタール　KC,3720
1025,株式会社フードフアッション,A0400020,1ｋｇ・10.00／kg,（Ｆ）エダムパウダー,2285
1025,株式会社フードフアッション,A0400021,1ｋｇ・10.00／kg,8mmダイスゴーダチーズ,1880
1025,株式会社フードフアッション,A0400027,約1KG・10.00／kg,Ｓａｃｈｓｅｎ　モッツァレラ　約１ＫＧ,1550
1025,株式会社フードフアッション,A0400028,1ｋｇ・10.00／C/S,FFミックスチーズ,1340
1030,株式会社ミコヤ香商,A0450001,1kg・1.00／本,バニラ・エキストラクト18,20700
1030,株式会社ミコヤ香商,A0450002,1kg・1.00／本,バニラペースト555 1Kg,8900
1030,株式会社ミコヤ香商,A0450003,５００ｇ・1.00／ヶ,バニラペースト　PE,12700
1030,株式会社ミコヤ香商,A0450023,1kg・1.00／本,レモンペースト　ＧＧ　　　　１ｋｇ,7200
1009,株式会社廣栄商会,A0750001,500g・1.00／本,USイースト,307
1004,石川株式会社,A0890005,25kg・1.00／袋,コーングリッツY NO.4M【名古屋事業所用】,5180
1004,石川株式会社,A0890008,25kg 混載10袋～・1.00／袋,リスドォル,3807
1004,石川株式会社,A0890010,25kg 混載10袋～・1.00／袋,メゾンカイザートラディショナル,4362
1004,石川株式会社,A0890013,２５ｋｇ・1.00／袋,スーパーキング　　２５ｋｇ,5079
1004,石川株式会社,A0890014,２５ｋｇ・1.00／袋,グラハムブレッドフラワー,3795
1004,石川株式会社,A0890015,２５ｋｇ・1.00／袋,セイヴァリー,3890
1004,石川株式会社,A0890018,２５ｋｇ／袋,バイオレット,4443
1004,石川株式会社,A0890021,２５ｋｇ・1.00／袋,コーングリッツＹ　ＮＯ．４,4900
1004,石川株式会社,A0890034,５ｋｇ・1.00／袋,アーレファイン　５ｋｇ,1875
1004,石川株式会社,A0890036,25kg 混載10袋～・1.00／袋,アトム,3535
1004,石川株式会社,A0890048,２５ｋｇ・1.00／袋,コーングリッツＹ　ＮＯ．４ Ｍ（大阪用）,5180
1004,石川株式会社,A0890057,20kg・1.00／袋,ライ麦粉　アーレファイン,5605
1004,石川株式会社,A0890063,500ｇ・1.00／本,イースト　５００ｇ　【Sakuramachi熊本店様専用】,265
1004,石川株式会社,A0890064,500ｇ×25・1.00／C/S,レギュラーイースト　５００ｇ×２５【九州用】,#DIV/0!
1004,石川株式会社,A0890065,,USイースト　５００ｇ【近鉄あべの店様用】　毎週水曜日,275
1004,石川株式会社,A0890066,,ＶＦイースト　５００ｇ【近鉄あべの店様】　　毎週水曜日配送,260
1004,石川株式会社,A0890067,,ＶＦイースト500ｇ×２５,6500
1004,石川株式会社,A0890085,発注はパック単位でお願い致します。,W２９４  アラビキウインナー　４０ｇ,1800
1004,石川株式会社,A0890089,発注は１ｋｇでお願い致します。,W201 あらびきポークウインナー　４０ｇ　【荷姿＝１ｋｇ】,#DIV/0!
1004,石川株式会社,A0890106,２．５ｋｇ・1.00／PC,Ｋ９０９　　ＨＤソーセージ　２．５ｋｇ,#DIV/0!
1004,石川株式会社,A0890120,250ｇ／kg,モルタデラスライス　250ｇ　バラ,615
1004,石川株式会社,A0890123,５００ｇ・1.00／PC,Ｃ２０９　カントリースライス　５００ｇ,1995
1004,石川株式会社,A0890137,1kg　【ＰＣ】で発注をお願い致します。,D203　ベーコンスライス　　１ｋｇ,2320
1004,石川株式会社,A0890143,３００ｇ・1.00／PC,Ｓ３１０　スモークチキンスライス　３００ｇ,750
1004,石川株式会社,A0890149,25ｋｇ・1.00／袋,赤穂塩　食塩【名古屋事業所用】,2275
1004,石川株式会社,A0890150,25ｋｇ・1.00／袋,赤穂塩　食塩,2275
1004,石川株式会社,A0890153,２０ｋｇ・1.00／袋,日新　グラニュー糖　Ｌ　２０㎏　【九州地区限定】,4600
1004,石川株式会社,A0890155,30kg・1.00／kg,グラニュー糖　CIM,6900
1004,石川株式会社,A0890156,,三井製糖　　CZ　中双糖　３０ｋｇ,7950
